profile_id	gpu	mode	median_ms	min_ms	p90_ms	mean_ms	ratio_vs_fa3_median	error
d64_primary_qmr1984	0	whale_fa3_bwd	2.437804	2.416311	2.490720	2.446576	1.015019	
d64_primary_qmr1984	0	fa3	2.401732	2.379538	2.464242	2.409243	1.015019	
d64_fallback_qtile128_64_8_2_qmr256	0	whale_fa3_bwd	2.482480	2.358587	2.519584	2.472308	1.039174	
d64_fallback_qtile128_64_8_2_qmr256	0	fa3	2.388897	2.328842	2.434057	2.384238	1.039174	
d64_auto_current	0	whale_fa3_bwd	2.509746	2.348975	2.521862	2.461315	1.070226	
d64_auto_current	0	fa3	2.345061	2.324332	2.427900	2.354551	1.070226	
